model,threshold,sensitivity,specificity,precision,youden_j,predicted_positive_rate
Logistic Regression,0.42000000000000004,0.22934741606940778,0.960763358778626,0.48620551779288285,0.19011077484803374,0.06572584883843162
Logistic Regression,0.43,0.2153904187099208,0.9635114503816794,0.488660676080445,0.17890186909160022,0.06141595711132135
Logistic Regression,0.44,0.20256506978498678,0.9661984732824428,0.4924346629986245,0.16876354306742947,0.057316304005045726
Logistic Regression,0.45,0.18955111278762732,0.9686717557251908,0.4948301329394387,0.1582228685128182,0.05337432986439609
Logistic Regression,0.46,0.17729158807996984,0.9709618320610687,0.49709148598625064,0.1482534201410386,0.049695153999789764
Logistic Regression,0.47000000000000003,0.16880422482082233,0.9729465648854961,0.5025266704098821,0.14175078970631838,0.04680437296331336
Logistic Regression,0.48000000000000004,0.15975103734439833,0.9746870229007634,0.5053699284009546,0.13443806024516158,0.04404499106485862
Logistic Regression,0.49,0.14843455299886835,0.9767022900763359,0.5077419354838709,0.12513684307520423,0.04073373278671292
Logistic Regression,0.5,0.13994718973972087,0.9785343511450382,0.5134948096885813,0.11848154088475904,0.03797435088825817
Logistic Regression,0.51,0.13127121840814787,0.98006106870229,0.5159377316530763,0.11133228711043786,0.035451487438242404
Logistic Regression,0.52,0.12184081478687288,0.9816488549618321,0.5180433039294307,0.10348966974870488,0.03277094502260065
Logistic Regression,0.53,0.11448509996227839,0.983206106870229,0.5246326707000865,0.09769120683250732,0.03040576053821087
Logistic Regression,0.54,0.10807242549981139,0.984763358778626,0.5345149253731343,0.0928357842784373,0.02817197519184274
Logistic Regression,0.55,0.1005281026027914,0.9860458015267175,0.5383838383838384,0.08657390412950883,0.026017029328287606
Logistic Regression,0.56,0.09354960392304791,0.9873282442748091,0.544456641053787,0.08087784819785715,0.023940922947545466
Logistic Regression,0.5700000000000001,0.08657110524330441,0.9886106870229008,0.5516826923076923,0.07518179226620525,0.021864816566803322
Logistic Regression,0.5800000000000001,0.08166729536024142,0.989587786259542,0.5594315245478036,0.07125508161978344,0.02034058656575213
Logistic Regression,0.59,0.07487740475292343,0.9904732824427481,0.5599435825105783,0.0653506871956715,0.01863239777147062
Logistic Regression,0.6,0.06903055450773293,0.9915725190839695,0.5700934579439252,0.06060307359170247,0.016871649321980448
Logistic Regression,0.61,0.06431535269709543,0.9921221374045801,0.5692821368948247,0.056437490101675536,0.015741616734994218
Logistic Regression,0.62,0.057714070162202945,0.9929160305343512,0.5687732342007435,0.05063010069655416,0.014138547251130033
Logistic Regression,0.63,0.052433044134288946,0.9936488549618321,0.5720164609053497,0.046081899096120926,0.012771996215704825
Logistic Regression,0.64,0.04771784232365145,0.9942900763358778,0.575,0.04200791865952924,0.011563124145905603
Logistic Regression,0.65,0.044134288947566956,0.9948396946564886,0.5806451612903226,0.03897398360405546,0.01059077052454536
Logistic Regression,0.66,0.04111655978875896,0.9952977099236642,0.5860215053763441,0.03641426971242323,0.009776095868811101
Logistic Regression,0.67,0.03677857412297246,0.9958778625954199,0.5909090909090909,0.032656436718392357,0.008672343109429203
Logistic Regression,0.68,0.03413806110901547,0.9962442748091603,0.5953947368421053,0.03038233591817585,0.007989067591716598
Logistic Regression,0.6900000000000001,0.03055450773293097,0.9965190839694656,0.5869565217391305,0.027073591702396538,0.007253232418795333
Logistic Regression,0.7000000000000001,0.02810260279139947,0.9969770992366412,0.6008064516129032,0.025079702028040662,0.006517397245874067
Logistic Regression,0.7100000000000001,0.025084873632591476,0.9972213740458016,0.59375,0.022306247678393065,0.005886681383370125
Logistic Regression,0.72,0.022632968691059976,0.9974351145038168,0.5882352941176471,0.02006808319487674,0.005361084831283507
Logistic Regression,0.73,0.01999245567710298,0.9977404580152672,0.5888888888888889,0.01773291369237029,0.004730368968779565
Logistic Regression,0.74,0.01735194266314598,0.9979847328244275,0.5822784810126582,0.015336675487573448,0.004152212761484285
Logistic Regression,0.75,0.014522821576763486,0.9981984732824427,0.5661764705882353,0.012721294859206145,0.0035740565541890045
Logistic Regression,0.76,0.012825348924933987,0.998381679389313,0.5619834710743802,0.011207028314246914,0.003179859140124041
Logistic Regression,0.77,0.011505092417955488,0.9985038167938931,0.5545454545454546,0.010008909211848493,0.0028907810364764007
Logistic Regression,0.78,0.01018483591097699,0.9985954198473282,0.54,0.008780255758305211,0.0026279827604330916
Logistic Regression,0.79,0.008298755186721992,0.9988091603053435,0.5301204819277109,0.007107915492065464,0.002181225691159466
Logistic Regression,0.8,0.007355714824594493,0.9989312977099236,0.527027027027027,0.006287012534518022,0.0019447072427204878
Logistic Regression,0.81,0.006035458317615994,0.9989923664122138,0.49230769230769234,0.005027824729829877,0.0017081887942815095
Logistic Regression,0.8200000000000001,0.004715201810637495,0.9990534351145038,0.44642857142857145,0.003768636925141289,0.0014716703458425313
Logistic Regression,0.8300000000000001,0.004337985665786495,0.9991145038167939,0.4423076923076923,0.0034524894825804786,0.0013665510354252076
Logistic Regression,0.8400000000000001,0.0033949453036589967,0.999206106870229,0.4090909090909091,0.002601052173887952,0.0011563124145905603
Logistic Regression,0.85,0.003017729158807997,0.999236641221374,0.3902439024390244,0.002254370380182058,0.0010774729317775675
Logistic Regression,0.86,0.0024519049415314977,0.9993282442748092,0.37142857142857144,0.0017801492163407318,0.000919793966151582
Logistic Regression,0.87,0.002074688796680498,0.9995419847328244,0.4230769230769231,0.0016166735295048973,0.0006832755177126038
Logistic Regression,0.88,0.002074688796680498,0.9996030534351145,0.4583333333333333,0.0016777422317950652,0.000630715862503942
Logistic Regression,0.89,0.002074688796680498,0.9996946564885496,0.5238095238095238,0.001769345285230095,0.0005518763796909492
Logistic Regression,0.9,0.0016974726518294984,0.9997251908396947,0.5,0.001422663491524201,0.0004730368968779565
Logistic Regression,0.91,0.0016974726518294984,0.9997557251908397,0.5294117647058824,0.0014531978426690628,0.00044675706927362556
Logistic Regression,0.92,0.0013202565069784986,0.9998167938931297,0.5384615384615384,0.0011370504001082526,0.0003416377588563019
Logistic Regression,0.93,0.001131648434552999,0.9998167938931297,0.5,0.0009484423276826526,0.000315357931251971
Logistic Regression,0.9400000000000001,0.000943040362127499,0.9998473282442748,0.5,0.0007903686064023585,0.00026279827604330916
Logistic Regression,0.9500000000000001,0.0007544322897019992,0.9999083969465649,0.5714285714285714,0.0006628292362669264,0.0001839587932303164
Logistic Regression,0.9600000000000001,0.0005658242172764995,0.9999694656488549,0.75,0.0005352898661314942,0.00010511931041732366
Logistic Regression,0.97,0.0001886080724254998,1.0,1.0,0.00018860807242560007,2.6279827604330916e-05
Logistic Regression,0.98,0.0,1.0,,0.0,0.0
Logistic Regression,0.99,0.0,1.0,,0.0,0.0
Random Forest,0.01,0.9952847981893626,0.1509618320610687,0.1595079043617568,0.14624663025043128,0.8694155366340797
Random Forest,0.02,0.985288570350811,0.26717557251908397,0.1787571858746236,0.2524641428698948,0.7680016819089667
Random Forest,0.03,0.9730290456431535,0.3450992366412214,0.19389634306761377,0.31812828228437495,0.6992273730684326
Random Forest,0.04,0.961523953225198,0.4062595419847328,0.2077170680030966,0.3677834952099308,0.6449858088930936
Random Forest,0.05,0.946058091286307,0.453618320610687,0.21894369271060674,0.399676411896994,0.6020708504152212
Random Forest,0.060000000000000005,0.9315352697095436,0.4956030534351145,0.23017056575636127,0.42713832314465816,0.5639125407337328
Random Forest,0.06999999999999999,0.9164466239155036,0.5317251908396946,0.24060410992820006,0.4481718147551983,0.5307211184694628
Random Forest,0.08,0.9024896265560166,0.5633282442748092,0.2507073247406476,0.4658178708308258,0.5015767896562598
Random Forest,0.09,0.8870237646171256,0.5913893129770993,0.26004976499861765,0.478413077594225,0.4752706822243246
Random Forest,0.09999999999999999,0.8674085250848736,0.6182290076335878,0.26891591626710326,0.48563753271846144,0.4494376116892673
Random Forest,0.11,0.8481705016974727,0.6425343511450382,0.2775240681313256,0.49070485284251086,0.4258383265005782
Random Forest,0.12,0.8244058845718597,0.6657099236641222,0.2853319407272015,0.490115808235982,0.4025806790707453
Random Forest,0.13,0.8062995096190116,0.6893435114503816,0.2958682261748218,0.4956430210693932,0.3797172290549774
Random Forest,0.14,0.7857412297246322,0.7099236641221374,0.30484413873847505,0.4956648938467696,0.35914012404078627
Random Forest,0.15000000000000002,0.7665032063372312,0.7283969465648855,0.31360444478740646,0.49490015290211664,0.3405602859245243
Random Forest,0.16,0.7483968313843833,0.7457404580152672,0.32273281821878813,0.4941372893996505,0.3231104803952486
Random Forest,0.17,0.7289701999245568,0.7610992366412214,0.3306527504491402,0.4900694365657783,0.3071849048670241
Random Forest,0.18000000000000002,0.7121840814786873,0.7759083969465649,0.33972109761583447,0.4880924784252523,0.29210028382213815
Random Forest,0.19,0.6925688419464353,0.7886106870229007,0.3465785747994337,0.4811795289693359,0.27843477346788603
Random Forest,0.2,0.6708789136175028,0.8009160305343511,0.3529820383050511,0.4717949441518541,0.26482182276884264
Random Forest,0.21000000000000002,0.6482459449264428,0.8141068702290076,0.36083989501312336,0.46235281515545035,0.250315357931252
Random Forest,0.22,0.6307053941908713,0.8247633587786259,0.36816029946053064,0.4554687529694972,0.2386996741301377
Random Forest,0.23,0.6142964918898529,0.8344732824427481,0.3753168932933856,0.4487697743326011,0.22805634395038368
Random Forest,0.24000000000000002,0.5946812523576009,0.8445496183206107,0.3824599708879185,0.43923087067821154,0.21665089877010407
Random Forest,0.25,0.5782723500565824,0.854442748091603,0.3914209115281501,0.43271509814818554,0.20584988962472406
Random Forest,0.26,0.5575254620897775,0.8640305343511451,0.39897422054258336,0.42155599644092256,0.19470724272048776
Random Forest,0.27,0.534703885326292,0.8723969465648855,0.4041916167664671,0.4071008318911775,0.18432671081677704
Random Forest,0.28,0.51508864579404,0.8798473282442748,0.4096909690969097,0.3949359740383147,0.17518133081046988
Random Forest,0.29000000000000004,0.495850622406639,0.8885801526717557,0.4187639375597324,0.38443077507839485,0.1649847576999895
Random Forest,0.3,0.47548095058468504,0.8956641221374045,0.4245537217918491,0.3711450727220895,0.15604961631451697
Random Forest,0.31,0.45511127876273105,0.9030839694656488,0.43189547163057096,0.3581952482283799,0.14682539682539683
Random Forest,0.32,0.43530743115805354,0.910473282442748,0.4404580152671756,0.34578071360080154,0.137706296646694
Random Forest,0.33,0.4155035835533761,0.9172519083969466,0.44840219824954203,0.3327554919503226,0.12911279302007778
Random Forest,0.34,0.3960769520935496,0.9233282442748092,0.4554326610279766,0.31940519636835885,0.12117628508356985
